Country,Commit Count,Commits per Capita,Commits_per_100000_People,Population
Pitcairn,63,1.369565217,136956.52,46
Saint Helena,928,0.1243967828,12439.68,7460
Christmas Island,153,0.102,10200,1500
Bermuda,3935,0.06020041307,6020.04,65365
Vatican,54,0.05863192182,5863.19,921
Sao Tome and Principe,6896,0.03922460866,3922.46,175808
New Zealand,100403,0.02361158504,2361.16,4252277
Tonga,2347,0.01914667972,1914.67,122580
Svalbard and Jan Mayen,48,0.01882352941,1882.35,2550
Switzerland,108981,0.01437554412,1437.55,7581000
British Indian Ocean Territory,57,0.01425,1425,4000
Norway,67326,0.0135033605,1350.34,4985870
Sweden,115430,0.01276174682,1276.17,9045000
Finland,57023,0.01087395118,1087.4,5244000
Denmark,56452,0.01029394602,1029.39,5484000
Iceland,2852,0.00923246253,923.25,308910
United States,2636423,0.008498206716,849.82,310232863
Netherlands,139961,0.008408591169,840.86,16645000
Canada,276065,0.008196947653,819.69,33679000
Gibraltar,210,0.007531200689,753.12,27884
Estonia,8997,0.006968098701,696.81,1291170
United Kingdom,431915,0.006927437984,692.74,62348447
Jersey,578,0.006364797604,636.48,90812
Austria,50303,0.006130773918,613.08,8205000
Slovenia,11737,0.005848031888,584.8,2007000
Costa Rica,25314,0.005605129954,560.51,4516220
Saint Vincent and the Grenadines,574,0.005507738661,550.77,104217
Belgium,54707,0.005258771508,525.88,10403000
Australia,109383,0.005083856229,508.39,21515754
Czech Republic,53094,0.005068155785,506.82,10476000
Germany,410283,0.005015546209,501.55,81802257
Singapore,19696,0.004189685367,418.97,4701069
Latvia,8623,0.003887791038,388.78,2217969
American Samoa,195,0.003368981186,336.9,57881
Norfolk Island,6,0.003282275711,328.23,1828
Israel,22638,0.003078331,307.83,7353985
Faroe Islands,147,0.003048021896,304.8,48228
Luxembourg,1479,0.002972637266,297.26,497538
Croatia,12962,0.002886216878,288.62,4491000
France,185079,0.00285755139,285.76,64768389
Portugal,30483,0.002855282877,285.53,10676000
Hong Kong,19652,0.002848658426,284.87,6898686
Netherlands Antilles,368,0.002701968472,270.2,136197
Ireland,11547,0.002497773592,249.78,4622917
Belarus,24010,0.002479091378,247.91,9685000
Andorra,207,0.002464285714,246.43,84000
Bulgaria,17100,0.002392014867,239.2,7148785
Uruguay,8208,0.002360655738,236.07,3477000
Guernsey,146,0.002238302569,223.83,65228
Hungary,21036,0.002118429003,211.84,9930000
Lithuania,7274,0.002040392707,204.04,3565000
Liechtenstein,70,0.002,200,35000
Japan,254202,0.001997061781,199.71,127288000
Poland,73295,0.001903766234,190.38,38500000
Cuba,20988,0.001837345706,183.73,11423000
Greece,19380,0.001761818182,176.18,11000000
Saint Lucia,277,0.001721330831,172.13,160922
Taiwan,37603,0.001642455198,164.25,22894384
Chile,25641,0.00153112673,153.11,16746491
Slovakia,8217,0.001506324473,150.63,5455000
Romania,31772,0.001446859956,144.69,21959278
Ukraine,65160,0.00143474942,143.47,45415596
Niue,3,0.001385041551,138.5,2166
Venezuela,35453,0.001302306986,130.23,27223228
Italy,70833,0.001173891531,117.39,60340328
Colombia,51132,0.001156694064,115.67,44205293
Spain,49367,0.001061519788,106.15,46505963
Puerto Rico,3998,0.001020774992,102.08,3916632
Kiribati,94,0.001015853804,101.59,92533
Argentina,41303,0.0009990276273,99.9,41343201
Bahamas,298,0.0009874415985,98.74,301790
Mali,13418,0.0009725757979,97.26,13796354
Malta,370,0.0009181141439,91.81,403000
Russia,123820,0.0008800159202,88,140702000
Tuvalu,9,0.000859434683,85.94,10472
Curacao,120,0.000846465302,84.65,141766
Jamaica,2396,0.0008415190613,84.15,2847232
Serbia,5673,0.0007723782401,77.24,7344847
